cutoff,n_approved,approval_rate,bad_rate,bad_rate_declined,exposure_approved
596.1750842160579,21721,0.05000149629264722,0.015560977855531514,0.11870768574654822,316040900.0
586.6094654996504,43441,0.1000006905966064,0.022306116341704842,0.12368850488277754,636839600.0
580.3638879034681,65161,0.1499998849005656,0.027623885452954987,0.1287136488953164,959879275.0
575.5438342917051,86882,0.2000013811932128,0.03227365852535623,0.1338695057909503,1276886600.0
571.4504267202954,108602,0.25000057549717203,0.036656783484650374,0.13918141219441077,1591066225.0
567.7775451432191,130322,0.2999997698011312,0.041029143199152865,0.1446306131509282,1906528575.0
564.4167903573344,152043,0.3500012660937784,0.045270088067191516,0.15031661259933987,2223052050.0
561.2422695040981,173763,0.4000004603977376,0.04902079268889234,0.15656988075689446,2534657200.0
558.2492092166399,195483,0.4499996547016968,0.05353406690095814,0.16265423314526795,2847662600.0
555.2945511564855,217204,0.5000011509943441,0.05748973315408556,0.16961091697628486,3158490175.0
552.3893461652546,238924,0.5500003452983032,0.06134586730508446,0.1773555756766573,3471037725.0
549.4364935281851,260644,0.5999995396022624,0.0655645247924372,0.18552856476925467,3783650575.0
546.4515660909998,282364,0.6499987339062215,0.07000184159453755,0.19442526127477094,4095137300.0
543.3446504557786,304085,0.7000002301988688,0.0747619908907049,0.20405610718067554,4406695175.0
540.0487679288808,325805,0.749999424502828,0.07953223553966329,0.2156037642032375,4721420125.0
536.455814912579,347525,0.7999986188067871,0.08468455506798073,0.22901176308096038,5038110725.0
532.2773681905746,369246,0.8500001150994344,0.09027585945413084,0.24543822224950507,5358345825.0
527.2288642792261,390966,0.8999993094033936,0.09614902574648435,0.27015952671439425,5684166225.0
519.8380118114085,412686,0.9499985037073528,0.1033812632364558,0.30675383269646883,6022959475.0
473.33793806902935,434407,1.0,0.11355019601433679,,6400569700.0
