cutoff,n_approved,approval_rate,bad_rate,bad_rate_declined,exposure_approved,expected_loss,expected_loss_rate,realised_loss_rate,gross_yield_rate,net_margin_rate,net_margin_total,marginal_margin_rate
596.1750842160579,21721,0.05000149629264722,0.015560977855531514,0.11870768574654822,316040900.0,7765225.685860876,0.024570318860188272,0.013756232438984193,0.1206166694247485,0.09247414237990585,29225611.18447359,
586.6094654996504,43441,0.1000006905966064,0.022306116341704842,0.12368850488277754,636839600.0,21141352.53951465,0.03319729573901285,0.019893927226602336,0.13921306413734322,0.10028857814740207,63867737.99196027,0.10798711717811414
580.3638879034681,65161,0.1499998849005656,0.027623885452954987,0.1287136488953164,959879275.0,38826005.681202024,0.04044884257054308,0.02461702877746756,0.154044465477182,0.1057454940953753,101502908.20678562,0.1165032444229191
575.5438342917051,86882,0.2000013811932128,0.03227365852535623,0.1338695057909503,1276886600.0,59874507.85943344,0.04689101433082111,0.028715690351301015,0.16551749933001098,0.10876100229904875,138875466.43822455,0.11789178130643806
571.4504267202954,108602,0.25000057549717203,0.036656783484650374,0.13918141219441077,1591066225.0,84218867.32613024,0.0529323456200764,0.03281115168435045,0.1754465088968877,0.11062935915345466,176018636.8424563,0.11822272180836602
567.7775451432191,130322,0.2999997698011312,0.041029143199152865,0.1446306131509282,1906528575.0,112167332.62743765,0.058833281650361655,0.036579938307007384,0.1842432689266144,0.11146618730769198,212513471.24841708,0.11568681462609015
564.4167903573344,152043,0.3500012660937784,0.045270088067191516,0.15031661259933987,2223052050.0,143760868.6857084,0.06466824233184662,0.04046262310527507,0.19238916346560578,0.11163873191530566,248178711.84372067,0.11267802678870373
561.2422695040981,173763,0.4000004603977376,0.04902079268889234,0.15656988075689446,2534657200.0,178454451.9161429,0.07040575424406224,0.04377185521968453,0.19988570937324387,0.11120345419845164,281862635.84897566,0.10809809788206319
558.2492092166399,195483,0.4499996547016968,0.05353406690095814,0.16265423314526795,2847662600.0,217112286.45862895,0.07624227900406072,0.04790186136272907,0.20710360713379458,0.11025826464467672,313978336.5695482,0.1026043024196149
555.2945511564855,217204,0.5000011509943441,0.05748973315408556,0.16961091697628486,3158490175.0,259444355.9274791,0.08214189107853695,0.051598376380127355,0.2138470121028634,0.10868865804050468,343292058.55486876,0.09430862749329935
552.3893461652546,238924,0.5500003452983032,0.06134586730508446,0.1773555756766573,3471037725.0,306432946.1217686,0.08828280485536025,0.0550669150818633,0.2206251752449622,0.10668954941160677,370323450.87093866,0.08648729550453971
549.4364935281851,260644,0.5999995396022624,0.0655645247924372,0.18552856476925467,3783650575.0,358149428.146157,0.09465710985908286,0.058887842499057985,0.22731259178181376,0.10416305013404191,394116584.5334215,0.07611054268077226
546.4515660909998,282364,0.6499987339062215,0.07000184159453755,0.19442526127477094,4095137300.0,414773466.5696025,0.10128438589094498,0.0631188877675475,0.233708531276839,0.10092257448927182,413291799.2030455,0.06156029496802463
543.3446504557786,304085,0.7000002301988688,0.0747619908907049,0.20405610718067554,4406695175.0,477229338.5760417,0.10829642614797873,0.0674572159333606,0.24016027391320527,0.09705169554626462,427677238.48929334,0.04617260689124886
540.0487679288808,325805,0.749999424502828,0.07953223553966329,0.2156037642032375,4721420125.0,546984611.8743984,0.1158517135507822,0.07182502137442315,0.24694812383805817,0.09252262065462737,436838163.1764983,0.029107716713291897
536.455814912579,347525,0.7999986188067871,0.08468455506798073,0.22901176308096038,5038110725.0,625423154.6722469,0.1241384298222717,0.07673759868656409,0.2541123619945848,0.08706302744149162,438633172.3039482,0.005668021493059566
532.2773681905746,369246,0.8500001150994344,0.09027585945413084,0.24543822224950507,5358345825.0,714725306.6657261,0.13338543834388034,0.08198790609815161,0.26153104744037303,0.0802178800386746,429835142.59558284,-0.027473658285320317
527.2288642792261,390966,0.8999993094033936,0.09614902574648435,0.27015952671439425,5684166225.0,819028790.9256947,0.14408952140130185,0.08751928574689599,0.2696718287192595,0.07149963198252904,406415793.2150214,-0.07187809412965386
519.8380118114085,412686,0.9499985037073528,0.1033812632364558,0.30675383269646883,6022959475.0,949196247.6888313,0.15759631982063624,0.09460429567620843,0.2794339136807823,0.05930485129044316,357190715.9932406,-0.14529533047597842
473.33793806902935,434407,1.0,0.11355019601433679,,6400569700.0,1156352522.739372,0.18066399975917333,0.10556575268685929,0.29421973898354703,0.03404529562268076,217909287.59007308,-0.36884972699869956
